Data,Y,VIX,VIX_lag_7,VIX_lag_14,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_14,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_14,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_14,MXJP,MXJP_lag_7,MXJP_lag_14,MXEU,MXEU_lag_7,MXEU_lag_14,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_14,MXUS,MXUS_lag_7,MXUS_lag_14,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_14,MXIN,MXIN_lag_7,MXIN_lag_14
2001-01-02,1,29.99,26.81,21.88,4.518,5.219,5.288,5.16,5.578,5.631,5.766,6.068,6.02,809.54,853.25,904.45,127.2,136.99,134.57,311.147,307.996,320.517,1216.76,1320.88,1365.01,518.34,525.23,551.46,175.24,171.57,177.45
2001-01-09,0,27.99,26.62,21.85,4.496,5.222,5.242,5.136,5.564,5.603,5.741,6.031,6.028,803.34,834.6,922.49,125.89,135.15,136.82,316.25,307.889,318.919,1233.25,1284.08,1358.24,527.0,522.78,545.44,180.12,171.73,176.43
2001-01-16,0,25.28,27.64,24.86,4.6,5.164,5.263,5.232,5.464,5.587,5.855,5.927,6.001,801.73,837.18,910.57,126.11,133.65,133.35,320.338,304.499,319.078,1259.71,1272.86,1323.43,535.9,516.2,545.29,176.28,176.35,169.12
2001-01-23,0,21.57,24.99,27.84,4.549,4.963,5.263,5.222,5.335,5.604,5.835,5.891,6.04,818.87,835.0,882.09,128.14,133.32,131.93,324.492,302.027,312.811,1288.41,1309.41,1279.95,542.77,505.64,536.74,185.71,180.15,157.63
2001-01-30,0,22.57,24.88,24.28,4.584,4.929,5.333,5.208,5.363,5.604,5.807,5.931,6.011,813.79,855.16,873.58,129.85,134.94,138.67,328.574,305.415,311.37,1301.87,1309.69,1326.42,549.73,512.4,536.06,189.45,187.03,158.36
2001-02-06,1,21.98,27.17,23.63,4.563,4.791,5.322,5.164,5.28,5.599,5.736,5.879,6.034,786.21,815.57,860.75,128.73,131.7,139.34,331.663,308.385,309.482,1281.55,1242.73,1361.95,557.66,516.17,528.24,190.05,181.78,163.1
2001-02-13,1,21.37,28.73,24.91,4.538,4.672,5.283,5.145,5.273,5.622,5.739,5.874,6.071,792.57,810.45,890.65,126.64,126.39,138.69,333.64,309.96,307.034,1247.08,1246.34,1368.83,561.57,517.68,524.84,189.25,165.42,172.66
2001-02-20,1,24.69,29.99,26.81,4.647,4.518,5.219,5.23,5.16,5.578,5.808,5.766,6.068,783.23,809.54,853.25,122.96,127.2,136.99,332.756,311.147,307.996,1213.2,1216.76,1320.88,562.48,518.34,525.23,188.48,175.24,171.57
2001-02-27,1,26.49,27.99,26.62,4.537,4.496,5.222,5.176,5.136,5.564,5.8,5.741,6.031,790.79,803.34,834.6,120.3,125.89,135.15,331.515,316.25,307.889,1194.62,1233.25,1284.08,561.45,527.0,522.78,173.3,180.12,171.73
2001-03-06,1,25.89,25.28,27.64,4.571,4.6,5.164,5.179,5.232,5.464,5.801,5.855,5.927,773.77,801.73,837.18,121.74,126.11,133.65,334.404,320.338,304.499,1186.59,1259.71,1272.86,563.25,535.9,516.2,168.9,176.28,176.35
