VIX,VIX_lag_7,VIX_lag_2,VIX_lag_4,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_2,GTITL2YR_lag_4,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_2,GTITL10YR_lag_4,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_2,GTITL30YR_lag_4,MXJP,MXJP_lag_7,MXJP_lag_2,MXJP_lag_4,MXEU,MXEU_lag_7,MXEU_lag_2,MXEU_lag_4,LP01TREU,LP01TREU_lag_7,LP01TREU_lag_2,LP01TREU_lag_4,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_2,LG30TRUU_lag_4,MXUS,MXUS_lag_7,MXUS_lag_2,MXUS_lag_4,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_2,LF98TRUU_lag_4,MXIN,MXIN_lag_7,MXIN_lag_2,MXIN_lag_4,EONIA,EONIA_lag_7,EONIA_lag_2,EONIA_lag_4
18.79,20.88,19.39,20.11,5.217,5.035,5.268,5.171,5.541,5.514,5.555,5.564,5.856,5.878,5.883,5.933,911.28,969.96,932.36,999.85,138.31,138.75,138.14,137.9,117.018,116.42,116.702,115.989,319.949,313.182,318.568,315.563,1428.75,1425.88,1418.85,1429.53,548.71,541.37,548.7,544.81,185.28,212.98,187.73,210.57,4.33,4.24,3.98,4.31
17.98,21.8,20.55,19.75,5.353,5.15,5.221,5.32,5.578,5.641,5.514,5.659,5.85,5.934,5.832,5.971,927.15,979.46,920.68,956.45,140.05,135.97,136.75,139.64,116.124,116.769,116.071,116.255,320.1,313.082,318.375,317.09,1427.27,1402.53,1391.35,1439.0,547.07,541.69,546.73,547.1,182.66,203.46,183.7,203.91,4.35,4.51,4.35,4.31
17.47,19.83,18.79,19.39,5.462,5.164,5.217,5.268,5.588,5.629,5.541,5.555,5.793,5.929,5.856,5.883,928.87,1001.01,911.28,932.36,140.42,136.71,138.31,138.14,115.941,115.863,117.018,116.702,319.968,314.589,319.949,318.568,1435.93,1421.65,1428.75,1418.85,547.44,543.2,548.71,548.7,193.8,212.67,185.28,187.73,4.27,4.75,4.33,3.98
16.89,20.11,17.98,20.55,5.422,5.171,5.353,5.221,5.668,5.564,5.578,5.514,5.876,5.933,5.85,5.832,956.92,999.85,927.15,920.68,140.11,137.9,140.05,136.75,115.131,115.989,116.124,116.071,320.804,315.563,320.1,318.375,1450.16,1429.53,1427.27,1391.35,548.36,544.81,547.07,546.73,192.55,210.57,182.66,183.7,4.73,4.31,4.35,4.35
19.82,19.75,17.47,18.79,5.331,5.32,5.462,5.217,5.578,5.659,5.588,5.541,5.83,5.971,5.793,5.856,925.11,956.45,928.87,911.28,143.36,139.64,140.42,138.31,120.694,116.255,115.941,117.018,324.452,317.09,319.968,319.949,1442.61,1439.0,1435.93,1428.75,553.36,547.1,547.44,548.71,201.88,203.91,193.8,185.28,4.6,4.31,4.27,4.33
18.59,19.39,16.89,17.98,5.365,5.268,5.422,5.353,5.653,5.555,5.668,5.578,5.93,5.883,5.876,5.85,902.72,932.36,956.92,927.15,140.28,138.14,140.11,140.05,117.183,116.702,115.131,116.124,323.721,318.568,320.804,320.1,1416.78,1418.85,1450.16,1427.27,555.43,548.7,548.36,547.07,208.56,187.73,192.55,182.66,4.64,3.98,4.73,4.35
19.54,20.55,19.82,17.47,5.262,5.221,5.331,5.462,5.702,5.514,5.578,5.588,6.072,5.832,5.83,5.793,914.59,920.68,925.11,928.87,137.94,136.75,143.36,140.42,116.947,116.071,120.694,115.941,320.174,318.375,324.452,319.968,1394.02,1391.35,1442.61,1435.93,552.35,546.73,553.36,547.44,185.62,183.7,201.88,193.8,4.53,4.35,4.6,4.27
21.88,18.79,18.59,16.89,5.288,5.217,5.365,5.422,5.631,5.541,5.653,5.668,6.02,5.856,5.93,5.876,904.45,911.28,902.72,956.92,134.57,138.31,140.28,140.11,115.222,117.018,117.183,115.131,320.517,319.949,323.721,320.804,1365.01,1428.75,1416.78,1450.16,551.46,548.71,555.43,548.36,177.45,185.28,208.56,192.55,4.12,4.33,4.64,4.73
21.85,17.98,19.54,19.82,5.242,5.353,5.262,5.331,5.603,5.578,5.702,5.578,6.028,5.85,6.072,5.83,922.49,927.15,914.59,925.11,136.82,140.05,137.94,143.36,112.723,116.124,116.947,120.694,318.919,320.1,320.174,324.452,1358.24,1427.27,1394.02,1442.61,545.44,547.07,552.35,553.36,176.43,182.66,185.62,201.88,4.91,4.35,4.53,4.6
24.86,17.47,21.88,18.59,5.263,5.462,5.288,5.365,5.587,5.588,5.631,5.653,6.001,5.793,6.02,5.93,910.57,928.87,904.45,902.72,133.35,140.42,134.57,140.28,112.463,115.941,115.222,117.183,319.078,319.968,320.517,323.721,1323.43,1435.93,1365.01,1416.78,545.29,547.44,551.46,555.43,169.12,193.8,177.45,208.56,4.8,4.27,4.12,4.64
27.84,16.89,21.85,19.54,5.263,5.422,5.242,5.262,5.604,5.668,5.603,5.702,6.04,5.876,6.028,6.072,882.09,956.92,922.49,914.59,131.93,140.11,136.82,137.94,107.44,115.131,112.723,116.947,312.811,320.804,318.919,320.174,1279.95,1450.16,1358.24,1394.02,536.74,548.36,545.44,552.35,157.63,192.55,176.43,185.62,4.73,4.73,4.91,4.53
24.28,19.82,24.86,21.88,5.333,5.331,5.263,5.288,5.604,5.578,5.587,5.631,6.011,5.83,6.001,6.02,873.58,925.11,910.57,904.45,138.67,143.36,133.35,134.57,109.04,120.694,112.463,115.222,311.37,324.452,319.078,320.517,1326.42,1442.61,1323.43,1365.01,536.06,553.36,545.29,551.46,158.36,201.88,169.12,177.45,4.68,4.6,4.8,4.12
23.63,18.59,27.84,21.85,5.322,5.365,5.263,5.242,5.599,5.653,5.604,5.603,6.034,5.93,6.04,6.028,860.75,902.72,882.09,922.49,139.34,140.28,131.93,136.82,109.169,117.183,107.44,112.723,309.482,323.721,312.811,318.919,1361.95,1416.78,1279.95,1358.24,528.24,555.43,536.74,545.44,163.1,208.56,157.63,176.43,4.85,4.64,4.73,4.91
24.91,19.54,24.28,24.86,5.283,5.262,5.333,5.263,5.622,5.702,5.604,5.587,6.071,6.072,6.011,6.001,890.65,914.59,873.58,910.57,138.69,137.94,138.67,133.35,107.944,116.947,109.04,112.463,307.034,320.174,311.37,319.078,1368.83,1394.02,1326.42,1323.43,524.84,552.35,536.06,545.29,172.66,185.62,158.36,169.12,4.85,4.53,4.68,4.8
26.81,21.88,23.63,27.84,5.219,5.288,5.322,5.263,5.578,5.631,5.599,5.604,6.068,6.02,6.034,6.04,853.25,904.45,860.75,882.09,136.99,134.57,139.34,131.93,107.545,115.222,109.169,107.44,307.996,320.517,309.482,312.811,1320.88,1365.01,1361.95,1279.95,525.23,551.46,528.24,536.74,171.57,177.45,163.1,157.63,4.81,4.12,4.85,4.73
